"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","qualtricsId","responses","invalidEntries","response0","image","imageName","naming_response","Actual.Completion.Code","age","gender","education_level","languages_besides_english","language_1","language_2","language_3","language_4","other_languages","native_language","category","category_plural","typicality_subjective","animal_name","original_image_name","source","final_image_name","final_image_name_ext","image_experiment_name","image_path"
"",10595,"survey-text-columnResponse",7,569362,"0.0-7.0","p102430","2,2,5,6,0,1,0,2","R_2tm669lq18dmIOn","{""Q0"":""bird""}",0,"bird","lib/images/kookaburra_600x600.jpg","kookaburra","bird","TXmgOYWNAMINALUslvjFHlVb","40","Male","Bachelor's Degree","Yes","English","","","","","english","bird","birds","atypical","kookaburra","kookaburra_mz_1","https://unsplash.com/photos/TwQP2gDmUJA","kookaburra","_600x600.jpg","kookaburra_600x600.jpg","../images/kookaburra_600x600.jpg"
"",5875,"survey-text-columnResponse",8,575442,"0.0-8.0","p102430","2,2,5,6,0,1,0,2","R_2tm669lq18dmIOn","{""Q0"":""fish""}",0,"fish","lib/images/bluetang_600x600.jpg","bluetang","fish","TXmgOYWNAMINALUslvjFHlVb","40","Male","Bachelor's Degree","Yes","English","","","","","english","fish","fish","typical","blue tang","bluetang_mz_2","https://unsplash.com/photos/9FvTOCfvt_w","bluetang","_600x600.jpg","bluetang_600x600.jpg","../images/bluetang_600x600.jpg"
"",4964,"survey-text-columnResponse",9,580610,"0.0-9.0","p102430","2,2,5,6,0,1,0,2","R_2tm669lq18dmIOn","{""Q0"":""dog""}",0,"dog","lib/images/beagle_600x600.jpg","beagle","dog","TXmgOYWNAMINALUslvjFHlVb","40","Male","Bachelor's Degree","Yes","English","","","","","english","dog","dogs","typical","beagle","beagle_mz_4","https://commons.wikimedia.org/wiki/File:Beagle_1.jpg","beagle","_600x600.jpg","beagle_600x600.jpg","../images/beagle_600x600.jpg"
"",5483,"survey-text-columnResponse",10,586298,"0.0-10.0","p102430","2,2,5,6,0,1,0,2","R_2tm669lq18dmIOn","{""Q0"":""fish""}",0,"fish","lib/images/betafish_600x600.jpg","betafish","fish","TXmgOYWNAMINALUslvjFHlVb","40","Male","Bachelor's Degree","Yes","English","","","","","english","fish","fish","atypical","beta  fish","betafish_mz_1","https://commons.wikimedia.org/wiki/File:Male_Betta_-34245661920.jpg","betafish","_600x600.jpg","betafish_600x600.jpg","../images/betafish_600x600.jpg"
"[{""page_index"":0,""viewing_time"":15416}]",15419,"instructions",0,15554,"0.0-0.0","p103949","2,6,7,2,2,3,3,0","R_3M6cqsRjxJYtxOD","",NA,"","","","","nxEJpCMNAMINALDpYvVoferD","42","Female","Some College","No","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8640,"survey-text-columnResponse",1,24206,"0.0-1.0","p103949","2,6,7,2,2,3,3,0","R_3M6cqsRjxJYtxOD","{""Q0"":""horse""}",0,"horse","lib/images/horse.jpg","horse.jpg","horse","nxEJpCMNAMINALDpYvVoferD","42","Female","Some College","No","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7074,"survey-text-columnResponse",2,31487,"0.0-2.0","p103949","2,6,7,2,2,3,3,0","R_3M6cqsRjxJYtxOD","{""Q0"":""dog""}",0,"dog","lib/images/germanshepherd_600x600.jpg","germanshepherd","dog","nxEJpCMNAMINALDpYvVoferD","42","Female","Some College","No","","","","","","","dog","dogs","typical","german shepherd","germanshepherd_mz_1","https://commons.wikimedia.org/wiki/File:02.Owczarek_niemiecki_u%C5%BCytkowy_kr%C3%B3tkow%C5%82osy_suka.jpg","germanshepherd","_600x600.jpg","germanshepherd_600x600.jpg","../images/germanshepherd_600x600.jpg"
"",6120,"survey-text-columnResponse",3,37815,"0.0-3.0","p103949","2,6,7,2,2,3,3,0","R_3M6cqsRjxJYtxOD","{""Q0"":""fish""}",0,"fish","lib/images/angelfish_600x600.jpg","angelfish","fish","nxEJpCMNAMINALDpYvVoferD","42","Female","Some College","No","","","","","","","fish","fish","typical","angelfish","angelfish_mz_2","https://www.pexels.com/photo/angel-fish-blueface-angel-coral-marine-fish-1699246/","angelfish","_600x600.jpg","angelfish_600x600.jpg","../images/angelfish_600x600.jpg"
"",7699,"survey-text-columnResponse",4,45721,"0.0-4.0","p103949","2,6,7,2,2,3,3,0","R_3M6cqsRjxJYtxOD","{""Q0"":""lion fish""}",0,"lion fish","lib/images/lionfish_600x600.jpg","lionfish","lion fish","nxEJpCMNAMINALDpYvVoferD","42","Female","Some College","No","","","","","","","fish","fish","atypical","lion fish","lionfish_mz","https://unsplash.com/photos/gULJzSnDuZU","lionfish","_600x600.jpg","lionfish_600x600.jpg","../images/lionfish_600x600.jpg"
"",4302,"survey-text-columnResponse",5,50231,"0.0-5.0","p103949","2,6,7,2,2,3,3,0","R_3M6cqsRjxJYtxOD","{""Q0"":""dog""}",0,"dog","lib/images/chihuahua_600x600.jpg","chihuahua","dog","nxEJpCMNAMINALDpYvVoferD","42","Female","Some College","No","","","","","","","dog","dogs","atypical","chihuahua","chihuahua_mz_4","https://www.pxfuel.com/en/free-photo-ojhbm","chihuahua","_600x600.jpg","chihuahua_600x600.jpg","../images/chihuahua_600x600.jpg"
"",7606,"survey-text-columnResponse",6,58099,"0.0-6.0","p103949","2,6,7,2,2,3,3,0","R_3M6cqsRjxJYtxOD","{""Q0"":""giraffe ""}",0,"giraffe ","lib/images/giraffe.jpg","giraffe.jpg","giraffe","nxEJpCMNAMINALDpYvVoferD","42","Female","Some College","No","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",4605,"survey-text-columnResponse",7,62912,"0.0-7.0","p103949","2,6,7,2,2,3,3,0","R_3M6cqsRjxJYtxOD","{""Q0"":""cat""}",0,"cat","lib/images/britishshorthair_600x600.jpg","britishshorthair","cat","nxEJpCMNAMINALDpYvVoferD","42","Female","Some College","No","","","","","","","cat","cats","typical","british shorthair","britishshorthair_mz_2","https://commons.wikimedia.org/wiki/File:British_Shorthair._Female._18_months_old.jpg","britishshorthair","_600x600.jpg","britishshorthair_600x600.jpg","../images/britishshorthair_600x600.jpg"
"",7548,"survey-text-columnResponse",8,70668,"0.0-8.0","p103949","2,6,7,2,2,3,3,0","R_3M6cqsRjxJYtxOD","{""Q0"":""pigeon ""}",0,"pigeon ","lib/images/pigeon_600x600.jpg","pigeon","pigeon","nxEJpCMNAMINALDpYvVoferD","42","Female","Some College","No","","","","","","","bird","birds","typical","pigeon","pigeon_mz","https://upload.wikimedia.org/wikipedia/commons/4/43/Common_pigeon_-_Piccione_selvatico_occidentale_%28Columba_livia%29.jpg","pigeon","_600x600.jpg","pigeon_600x600.jpg","../images/pigeon_600x600.jpg"
"",3937,"survey-text-columnResponse",9,74814,"0.0-9.0","p103949","2,6,7,2,2,3,3,0","R_3M6cqsRjxJYtxOD","{""Q0"":""cat""}",0,"cat","lib/images/sphynx_600x600.jpg","sphynx","cat","nxEJpCMNAMINALDpYvVoferD","42","Female","Some College","No","","","","","","","cat","cats","atypical","sphynx","sphynx_mz_4","https://commons.wikimedia.org/wiki/File:Sphynx_-_cat._img_046.jpg","sphynx","_600x600.jpg","sphynx_600x600.jpg","../images/sphynx_600x600.jpg"
"",4095,"survey-text-columnResponse",10,79117,"0.0-10.0","p103949","2,6,7,2,2,3,3,0","R_3M6cqsRjxJYtxOD","{""Q0"":""bird""}",0,"bird","lib/images/kookaburra_600x600.jpg","kookaburra","bird","nxEJpCMNAMINALDpYvVoferD","42","Female","Some College","No","","","","","","","bird","birds","atypical","kookaburra","kookaburra_mz_1","https://unsplash.com/photos/TwQP2gDmUJA","kookaburra","_600x600.jpg","kookaburra_600x600.jpg","../images/kookaburra_600x600.jpg"
"[{""page_index"":0,""viewing_time"":1738}]",1739,"instructions",0,1804,"0.0-0.0","p105540","3,3,5,5,5,7,1,7","R_2U5Ebynf3Tu85Ck","",NA,"","","","","YLLpOBjNAMINALBhgtsZaDJQ","27","Female","Bachelor's Degree","No","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",4953,"survey-text-columnResponse",1,6764,"0.0-1.0","p105540","3,3,5,5,5,7,1,7","R_2U5Ebynf3Tu85Ck","{""Q0"":""horse""}",0,"horse","lib/images/horse.jpg","horse.jpg","horse","YLLpOBjNAMINALBhgtsZaDJQ","27","Female","Bachelor's Degree","No","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",4530,"survey-text-columnResponse",2,11498,"0.0-2.0","p105540","3,3,5,5,5,7,1,7","R_2U5Ebynf3Tu85Ck","{""Q0"":""catfish""}",0,"catfish","lib/images/catfish_600x600.jpg","catfish","catfish","YLLpOBjNAMINALBhgtsZaDJQ","27","Female","Bachelor's Degree","No","","","","","","","fish","fish","atypical","catfish","catfish_hw","https://commons.wikimedia.org/wiki/File:Blue_catfish_tenn_aquarium.JPG","catfish","_600x600.jpg","catfish_600x600.jpg","../images/catfish_600x600.jpg"
"",2409,"survey-text-columnResponse",3,14119,"0.0-3.0","p105540","3,3,5,5,5,7,1,7","R_2U5Ebynf3Tu85Ck","{""Q0"":""cat""}",0,"cat","lib/images/chartreux_600x600.jpg","chartreux","cat","YLLpOBjNAMINALBhgtsZaDJQ","27","Female","Bachelor's Degree","No","","","","","","","cat","cats","typical","chartreux","chartreux_mz_2","https://www.pexels.com/photo/animals-cat-chartreux-mieze-357182/","chartreux","_600x600.jpg","chartreux_600x600.jpg","../images/chartreux_600x600.jpg"
"",2528,"survey-text-columnResponse",4,16854,"0.0-4.0","p105540","3,3,5,5,5,7,1,7","R_2U5Ebynf3Tu85Ck","{""Q0"":""owl""}",0,"owl","lib/images/owl_600x600.jpg","owl","owl","YLLpOBjNAMINALBhgtsZaDJQ","27","Female","Bachelor's Degree","No","","","","","","","bird","birds","atypical","owl","owl_boss","BOSS","owl","_600x600.jpg","owl_600x600.jpg","../images/owl_600x600.jpg"
"",8177,"survey-text-columnResponse",5,25237,"0.0-5.0","p105540","3,3,5,5,5,7,1,7","R_2U5Ebynf3Tu85Ck","{""Q0"":""fish""}",0,"fish","lib/images/sergeantmajor_600x600.jpg","sergeantmajor","fish","YLLpOBjNAMINALBhgtsZaDJQ","27","Female","Bachelor's Degree","No","","","","","","","fish","fish","typical","sergeant major","sergeantmajor_hw_1","https://unsplash.com/photos/mjPMBpsxICY","sergeantmajor","_600x600.jpg","sergeantmajor_600x600.jpg","../images/sergeantmajor_600x600.jpg"
"",5616,"survey-text-columnResponse",6,31071,"0.0-6.0","p105540","3,3,5,5,5,7,1,7","R_2U5Ebynf3Tu85Ck","{""Q0"":""giraffe""}",0,"giraffe","lib/images/giraffe.jpg","giraffe.jpg","giraffe","YLLpOBjNAMINALBhgtsZaDJQ","27","Female","Bachelor's Degree","No","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",3762,"survey-text-columnResponse",7,35039,"0.0-7.0","p105540","3,3,5,5,5,7,1,7","R_2U5Ebynf3Tu85Ck","{""Q0"":""hawk""}",0,"hawk","lib/images/falcon_600x600.jpg","falcon","hawk","YLLpOBjNAMINALBhgtsZaDJQ","27","Female","Bachelor's Degree","No","","","","","","","bird","birds","typical","falcon","falcon_mz_1","https://upload.wikimedia.org/wikipedia/commons/9/9a/Falco_peregrinus_good_-_Christopher_Watson.jpg","falcon","_600x600.jpg","falcon_600x600.jpg","../images/falcon_600x600.jpg"
"",9911,"survey-text-columnResponse",8,45156,"0.0-8.0","p105540","3,3,5,5,5,7,1,7","R_2U5Ebynf3Tu85Ck","{""Q0"":""dog""}",0,"dog","lib/images/saintbernard_600x600.jpg","saintbernard","dog","YLLpOBjNAMINALBhgtsZaDJQ","27","Female","Bachelor's Degree","No","","","","","","","dog","dogs","atypical","saint bernard","saintbernard_boss","BOSS","saintbernard","_600x600.jpg","saintbernard_600x600.jpg","../images/saintbernard_600x600.jpg"
"",3318,"survey-text-columnResponse",9,48681,"0.0-9.0","p105540","3,3,5,5,5,7,1,7","R_2U5Ebynf3Tu85Ck","{""Q0"":""husky""}",0,"husky","lib/images/husky_600x600.jpg","husky","husky","YLLpOBjNAMINALBhgtsZaDJQ","27","Female","Bachelor's Degree","No","","","","","","","dog","dogs","typical","siberian husky","husky_hw","https://pixabay.com/photos/dog-husky-sled-dog-animal-2016708/","husky","_600x600.jpg","husky_600x600.jpg","../images/husky_600x600.jpg"
"",2950,"survey-text-columnResponse",10,51840,"0.0-10.0","p105540","3,3,5,5,5,7,1,7","R_2U5Ebynf3Tu85Ck","{""Q0"":""cat""}",0,"cat","lib/images/siamese_600x600.jpg","siamese","cat","YLLpOBjNAMINALBhgtsZaDJQ","27","Female","Bachelor's Degree","No","","","","","","","cat","cats","atypical","siamese","siamesecat_hw_2","https://pixabay.com/photos/cat-siamese-cat-fur-kitten-2068462/","siamese","_600x600.jpg","siamese_600x600.jpg","../images/siamese_600x600.jpg"
"[{""page_index"":0,""viewing_time"":4622}]",4624,"instructions",0,4678,"0.0-0.0","p110194","8,7,3,8,2,7,1,6","R_1Tu4XB5YPxhD47T","",NA,"","","","","GHgZWMwNAMINALDTXhRrZCBL","35","Female","Associate's Degree/technical school","No","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",4755,"survey-text-columnResponse",1,9440,"0.0-1.0","p110194","8,7,3,8,2,7,1,6","R_1Tu4XB5YPxhD47T","{""Q0"":""horse""}",0,"horse","lib/images/horse.jpg","horse.jpg","horse","GHgZWMwNAMINALDTXhRrZCBL","35","Female","Associate's Degree/technical school","No","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",4310,"survey-text-columnResponse",2,13957,"0.0-2.0","p110194","8,7,3,8,2,7,1,6","R_1Tu4XB5YPxhD47T","{""Q0"":""fish""}",0,"fish","lib/images/koi_600x600.jpg","koi","fish","GHgZWMwNAMINALDTXhRrZCBL","35","Female","Associate's Degree/technical school","No","","","","","","","fish","fish","typical","koi","koi_mz","https://www.flickr.com/photos/oregonstateuniversity/13311666853","koi","_600x600.jpg","koi_600x600.jpg","../images/koi_600x600.jpg"
"",3954,"survey-text-columnResponse",3,18116,"0.0-3.0","p110194","8,7,3,8,2,7,1,6","R_1Tu4XB5YPxhD47T","{""Q0"":""dog""}",0,"dog","lib/images/chihuahua_600x600.jpg","chihuahua","dog","GHgZWMwNAMINALDTXhRrZCBL","35","Female","Associate's Degree/technical school","No","","","","","","","dog","dogs","atypical","chihuahua","chihuahua_mz_4","https://www.pxfuel.com/en/free-photo-ojhbm","chihuahua","_600x600.jpg","chihuahua_600x600.jpg","../images/chihuahua_600x600.jpg"
"",6419,"survey-text-columnResponse",4,24743,"0.0-4.0","p110194","8,7,3,8,2,7,1,6","R_1Tu4XB5YPxhD47T","{""Q0"":""dog""}",0,"dog","lib/images/husky_600x600.jpg","husky","dog","GHgZWMwNAMINALDTXhRrZCBL","35","Female","Associate's Degree/technical school","No","","","","","","","dog","dogs","typical","siberian husky","husky_hw","https://pixabay.com/photos/dog-husky-sled-dog-animal-2016708/","husky","_600x600.jpg","husky_600x600.jpg","../images/husky_600x600.jpg"
"",6461,"survey-text-columnResponse",5,31411,"0.0-5.0","p110194","8,7,3,8,2,7,1,6","R_1Tu4XB5YPxhD47T","{""Q0"":""turkey""}",0,"turkey","lib/images/turkey_600x600.jpg","turkey","turkey","GHgZWMwNAMINALDTXhRrZCBL","35","Female","Associate's Degree/technical school","No","","","","","","","bird","birds","atypical","turkey","turkey_boss","BOSS","turkey","_600x600.jpg","turkey_600x600.jpg","../images/turkey_600x600.jpg"
"",4674,"survey-text-columnResponse",6,36293,"0.0-6.0","p110194","8,7,3,8,2,7,1,6","R_1Tu4XB5YPxhD47T","{""Q0"":""giraffe""}",0,"giraffe","lib/images/giraffe.jpg","giraffe.jpg","giraffe","GHgZWMwNAMINALDTXhRrZCBL","35","Female","Associate's Degree/technical school","No","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7094,"survey-text-columnResponse",7,43594,"0.0-7.0","p110194","8,7,3,8,2,7,1,6","R_1Tu4XB5YPxhD47T","{""Q0"":""bird""}",0,"bird","lib/images/robin_600x600.jpg","robin","bird","GHgZWMwNAMINALDTXhRrZCBL","35","Female","Associate's Degree/technical school","No","","","","","","","bird","birds","typical","robin","robin_mz","https://unsplash.com/photos/rP4IAAk3hGw","robin","_600x600.jpg","robin_600x600.jpg","../images/robin_600x600.jpg"
"",3888,"survey-text-columnResponse",8,47687,"0.0-8.0","p110194","8,7,3,8,2,7,1,6","R_1Tu4XB5YPxhD47T","{""Q0"":""cat""}",0,"cat","lib/images/oriental_600x600.jpg","oriental","cat","GHgZWMwNAMINALDTXhRrZCBL","35","Female","Associate's Degree/technical school","No","","","","","","","cat","cats","atypical","oriental","oriental_mz","https://en.wikipedia.org/wiki/File:Fatale_de_la_l%C3%A9gende_d%27ali.jpg","oriental","_600x600.jpg","oriental_600x600.jpg","../images/oriental_600x600.jpg"
"",3461,"survey-text-columnResponse",9,51355,"0.0-9.0","p110194","8,7,3,8,2,7,1,6","R_1Tu4XB5YPxhD47T","{""Q0"":""cat""}",0,"cat","lib/images/toyger_600x600.jpg","toyger","cat","GHgZWMwNAMINALDTXhRrZCBL","35","Female","Associate's Degree/technical school","No","","","","","","","cat","cats","typical","toyger","toyger_mz_2","https://www.flickr.com/photos/erlon10/8088944726","toyger","_600x600.jpg","toyger_600x600.jpg","../images/toyger_600x600.jpg"
"",4522,"survey-text-columnResponse",10,56083,"0.0-10.0","p110194","8,7,3,8,2,7,1,6","R_1Tu4XB5YPxhD47T","{""Q0"":""fish""}",0,"fish","lib/images/catfish_600x600.jpg","catfish","fish","GHgZWMwNAMINALDTXhRrZCBL","35","Female","Associate's Degree/technical school","No","","","","","","","fish","fish","atypical","catfish","catfish_hw","https://commons.wikimedia.org/wiki/File:Blue_catfish_tenn_aquarium.JPG","catfish","_600x600.jpg","catfish_600x600.jpg","../images/catfish_600x600.jpg"
"[{""page_index"":0,""viewing_time"":2491}]",2492,"instructions",0,2512,"0.0-0.0","p113195","9,1,2,3,4,5,0,1","R_2zSkIHmBuZYGEto","",NA,"","","","","OJxOOuFNAMINALMRUmwLLRcP","35","Female","High School / GED","No","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",5147,"survey-text-columnResponse",1,7661,"0.0-1.0","p113195","9,1,2,3,4,5,0,1","R_2zSkIHmBuZYGEto","{""Q0"":""giraffe""}",0,"giraffe","lib/images/giraffe.jpg","giraffe.jpg","giraffe","OJxOOuFNAMINALMRUmwLLRcP","35","Female","High School / GED","No","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
